Team Number,Team Name,Location,2026
1,The Juggernauts,"Pontiac, Michigan, USA",True
4,Team 4 ELEMENT,"Van Nuys, California, USA",True
5,Robocards,"Melvindale, MI, USA",False
6,The CogSquad,"Plymouth, MN, USA",False
7,Team007,"Baltimore, MD, USA",False
8,Paly Robotics,"Palo Alto, California, USA",True
9,Roosevelt RoboRiders,"Chicago, IL, USA",False
10,Red Knights,"St. Louis Park, MN, USA",False
11,MORT,"Flanders, New Jersey, USA",True
13,Triskadekamanics,,False
14,The Rulers,,False
15,Mustechs,,False
16,Bomb Squad,"Mountain Home, Arkansas, USA",True
17,The Brick Bombers,,False
18,,,False
19,Big Red,"Greenwich, CT, USA",False
20,The Rocketeers,"Clifton Park, New York, USA",True
21,ComBBAT,"Titusville, Florida, USA",True
22,Double Deuce,"Chatsworth, California, USA",True
23,PNTA Pilgrim Nuclear Technology Alliance,"Plymouth, Massachusetts, USA",False
24,Crusaders 2020,,False
25,Raider Robotix,"North Brunswick, New Jersey, USA",True
27,Team RUSH,"Clarkston, Michigan, USA",True
28,Pierson Whalers,"Sag Harbor, New York, USA",True
29,Caught in a Brainstorm,,False
30,FURY,"Lincroft, NJ, USA",False
31,Jenks Prime Movers,"Jenks, Oklahoma, USA",True
33,Killer Bees,"Bloomfield Hills, Michigan, USA",True
34,Rockets,"Athens, Alabama, USA",True
35,Sigma Squared,"Whitehall, MI, USA",False
37,Junior Plaids,"Coral Gables, FL, USA",False
38,Nonnebots,"Woodbury, CT, USA",False
39,The 39th Aero Squadron,"Gilbert, AZ, USA",False
40,Checkmate,"Manchester, NH, USA",False
41,RoboWarriors,"Warren, New Jersey, USA",True
42,P.A.R.T.S. (Precision Alvirne Robotics Team Systems),"Hudson, NH, USA",False
45,TechnoKats Robotics Team,"Kokomo, Indiana, USA",True
46,Category5,,False
47,Chief Delphi,"Pontiac, MI, USA",False
48,Team E.L.I.T.E.,"Warren, Ohio, USA",True
49,Robotic Knights,"Saginaw, MI, USA",False
51,Wings of Fire,"Pontiac, Michigan, USA",True
52,Robotworks Y,,False
53,Area 53,"Greenbelt, Maryland, USA",False
55,,,False
56,R.O.B.B.E.,"Bound Brook, New Jersey, USA",True
57,Leopards,"Houston, Texas, USA",False
58,The Riot Crew,"South Portland, Maine, USA",True
59,RamTech,"Miami, Florida, USA",True
60,Kingman FIRST Robotics Team 60 (The Bionic Bulldogs),"Kingman, Arizona, USA",True
61,BVT Robotics ,"Upton, Massachusetts, USA",True
62,,,False
63,McDowell Robotics Team 63,"Erie, Pennsylvania, USA",True
64,Gila Monsters,"Mesa, AZ, USA",False
65,The Huskie Brigade,"Pontiac, MI, USA",False
66,Grizzly Robotics,"Ypsilanti, Michigan, USA",True
67,The HOT Team,"Highland, Michigan, USA",True
68,Truck Town Thunder,"Ortonville, Michigan, USA",True
69,HYPER,"Quincy, Massachusetts, USA",True
70,More Martians,"Goodrich, Michigan, USA",True
71,Team Hammond,"Hammond, Indiana, USA",True
73,The Illumination,"Rochester, New York, USA",False
74,Team CHAOS,"Holland, Michigan, USA",True
75,RoboRaiders,"Hillsborough, New Jersey, USA",True
77,,,False
78,AIR STRIKE,"Newport, Rhode Island, USA",True
79,Team 79 Krunch,"Oldsmar, Florida, USA",True
80,Robocolt,"Phoenix, AZ, USA",False
81,MetalHeads,"Freeport, Illinois, USA",False
84,Chuck 84,"Towanda, PA, USA",False
85,B.O.B. (Built on Brains),"Zeeland, Michigan, USA",True
